"","","Number of cases","Number of cases","Number of deaths"
"Country","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," Confirmed","1698","308","982"
"Guinea"," Probable","210","7","210"
"Guinea"," Suspected","63","Not reported","0"
"Guinea"," Total","1971","315","1192"
"Liberia"," Confirmed","2643","340","Data not available"
"Liberia"," Probable","1762","192","Data not available"
"Liberia"," Suspected","2664","Not reported","Data not available"
"Liberia"," Total","7069","532","2964"
"Sierra Leone"," Confirmed","5056","1389","1041"
"Sierra Leone"," Probable","79","5","174"
"Sierra Leone"," Suspected","938","Not reported","35"
"Sierra Leone"," Total","6073","1394","1250"
