"","","Number of cases","Number of deaths"
"Country","Case definition"," Cumulative"," Cumulative"
"Guinea"," Confirmed","1745","998"
"Guinea"," Probable","216","216"
"Guinea"," Suspected","86","0"
"Guinea"," Total","2047","1214"
"Liberia"," Confirmed","2669","Data not available"
"Liberia"," Probable","1750","Data not available"
"Liberia"," Suspected","2663","Data not available"
"Liberia"," Total","7082","2963"
"Sierra Leone"," Confirmed","5152","1058"
"Sierra Leone"," Probable","79","174"
"Sierra Leone"," Suspected","959","35"
"Sierra Leone"," Total","6190","1267"
