"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 14 June 2015"," Confirmed","3245","35","2025"
"Guinea"," 14 June 2015"," Probable","419","Not reported.","419"
"Guinea"," 14 June 2015"," Suspected","10","Not reported.","Data not available."
"Guinea"," 14 June 2015"," Total","3674","35","2444"
"Liberia"," 9 May 2015"," Confirmed","3151","0","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","Not reported.","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","0","4806"
"Sierra Leone"," 14 June 2015"," Confirmed","8649","41","3553"
"Sierra Leone"," 14 June 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 14 June 2015"," Suspected","4029","Not reported.","158"
"Sierra Leone"," 14 June 2015"," Total","12 965","41","3919"
"All countries","  "," Confirmed","15 045","76","Data not available."
"All countries","  "," Probable","2585","Not reported.","Data not available."
"All countries","  "," Suspected","9675","Not reported.","Data not available."
"All countries","  "," Total","27 305","76","11 169"
